,City,Lat,Lon
0,Mexico City,19.4325,-99.13111
1,Ecatepec,19.60972,-99.06
2,Guadalajara,20.67639,-103.34222
3,Puebla,19.04528,-98.1975
4,Juárez,31.73944,-106.48694
5,Tijuana,32.53472,-117.04361
6,León,21.11972,-101.68056
7,Zapopan,20.72056,-103.38833
8,Monterrey,25.67139,-100.30861
9,Nezahualcóyotl,19.4,-98.98889
10,Culiacán,24.79194,-107.39806
11,Chihuahua,28.63528,-106.08889
12,Naucalpan,19.47528,-99.23778
13,Mérida,20.96778,-89.62167
14,San Luis Potosí,22.14972,-100.975
15,Aguascalientes,21.88083,-102.29611
16,Hermosillo,29.09889,-110.95417
17,Saltillo,25.43333,-101.0
18,Mexicali,32.66333,-115.46778
19,Guadalupe,25.67917,-100.235
20,Acapulco,16.86167,-99.88639
21,Tlalnepantla,19.53667,-99.19472
22,Cancún,21.16056,-86.8475
23,Querétaro,20.58806,-100.38806
24,Chimalhuacán,19.4375,-98.95417
25,Torreón,25.54444,-103.44167
26,Morelia,19.70222,-101.18556
27,Reynosa,26.09222,-98.27778
28,Tlaquepaque,20.63861,-103.30722
29,Tuxtla Gutiérrez,16.75306,-93.11556
30,Durango,24.02278,-104.65444
31,Toluca,19.29222,-99.65389
32,Ciudad López Mateos,19.56111,-99.24694
33,Cuautitlán Izcalli,19.64611,-99.21139
34,Ciudad Apodaca,25.78167,-100.18889
35,Matamoros,25.87972,-97.50417
36,San Nicolás de los Garza,25.74167,-100.30222
37,Veracruz,19.19028,-96.15333
38,Xalapa,19.53806,-96.90917
39,Tonalá,20.62333,-103.24556
40,Mazatlán,23.24139,-106.40972
41,Irapuato,20.67417,-101.3475
42,Nuevo Laredo,27.48639,-99.50806
43,Xico,19.29167,-98.93889
44,Villahermosa,17.98917,-92.92806
45,General Escobedo,25.80861,-100.32694
46,Celaya,20.52889,-100.815
47,Cuernavaca,18.91861,-99.23417
48,Tepic,21.51639,-104.89417
49,Ixtapaluca,19.31861,-98.88222
50,Ciudad Victoria,23.73611,-99.14611
51,Ciudad Obregón,27.48917,-109.935
52,Tampico,22.25528,-97.86861
53,Ciudad Nicolás Romero,19.625,-99.31417
54,Ensenada,31.85778,-116.60583
55,Coacalco de Berriozábal,19.63333,-99.09306
56,Santa Catarina,25.67556,-100.46222
57,Uruapan,19.41944,-102.05833
58,Gómez Palacio,25.56111,-103.49833
59,Los Mochis,25.79361,-108.99694
60,Pachuca,20.12167,-98.73583
61,Oaxaca,17.06778,-96.72
62,Soledad de Graciano Sánchez,22.18306,-100.94083
63,Tehuacán,18.46389,-97.39306
64,Ojo de Agua,19.68028,-99.01
65,Coatzacoalcos,18.13583,-94.46333
66,Campeche,19.84583,-90.53667
67,Monclova,26.90083,-101.41667
68,La Paz,24.14222,-110.31083
69,Nogales,31.31861,-110.94583
70,Buenavista,19.60833,-99.16944
71,Puerto Vallarta,20.61361,-105.22722
72,Tapachula,14.90806,-92.26056
73,Ciudad Madero,22.27639,-97.83139
74,San Pablo de las Salinas,19.66556,-99.09167
75,Chilpancingo,17.55,-99.50111
76,Poza Rica,20.53417,-97.44361
77,Chicoloapan de Juárez,19.41528,-98.90111
78,Ciudad del Carmen,18.63833,-91.83528
79,Chalco de Díaz Covarrubias,19.26472,-98.8975
80,Jiutepec,18.88139,-99.17778
81,Salamanca,20.57028,-101.19722
82,San Luis Río Colorado,32.47667,-114.7625
83,San Cristóbal de las Casas,16.73667,-92.63833
84,Cuautla,18.81222,-98.95583
85,Ciudad Benito Juárez,25.6475,-100.09472
86,Chetumal,18.50361,-88.30528
87,Piedras Negras,28.7,-100.52306
88,Playa del Carmen,20.6275,-87.08111
89,Zamora,19.98556,-102.28306
90,Córdoba,18.89028,-96.94
91,San Juan del Río,20.38889,-99.99639
92,Colima,19.24361,-103.73083
93,Ciudad Acuña,29.32417,-100.93167
94,Manzanillo,19.05222,-104.31583
95,Zacatecas,22.77167,-102.57528
96,Veracruz,19.14417,-96.11667
97,Ciudad Valles,21.98694,-99.01861
98,Guadalupe,22.75278,-102.50778
99,San Pedro Garza García,25.66417,-100.40167
100,Naucalpan,19.39694,-99.27667
101,Fresnillo,23.17556,-102.8675
102,Orizaba,18.85861,-97.09667
103,Miramar,22.3375,-97.86944
104,Iguala,18.34472,-99.54278
105,Delicias,28.19333,-105.47111
106,Ciudad de Villa de Álvarez,19.26722,-103.73778
107,Ciudad Cuauhtémoc,28.405,-106.86667
108,Navojoa,27.08083,-109.44528
109,Guaymas,27.91833,-110.89889
110,Minatitlán,18.01722,-94.56056
111,Cuautitlán,19.66694,-99.17917
112,Texcoco,19.50556,-98.88194
113,Hidalgo del Parral,26.9325,-105.66306
114,Tepexpan,19.61361,-98.91444
115,Tulancingo,20.08583,-98.36333
116,San Juan Bautista Tuxtepec,18.08611,-96.12389
